epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51608,1.51108,1.39164,1.38599,0.74175,0.74103,0.75967,0.36778,1.7611,1.13,1.37062,0.000362283,0.000362283,0.000362283
2,13.5928,1.48502,1.2008,1.356,0.79981,0.79313,0.81119,0.41342,1.63954,1.06267,1.30752,0.000714484,0.000714484,0.000714484
3,20.1499,1.51424,1.2136,1.39749,0.65835,0.75049,0.77398,0.38435,1.64259,1.18408,1.29111,0.00104835,0.00104835,0.00104835
4,27.1222,1.51366,1.21142,1.3662,0.73207,0.77639,0.76111,0.40066,1.5813,1.06211,1.28076,0.00102851,0.00102851,0.00102851
5,33.3788,1.46288,1.14525,1.33818,0.77434,0.74205,0.77392,0.38159,1.75527,1.11197,1.39164,0.00100101,0.00100101,0.00100101
6,40.0032,1.45642,1.12357,1.35013,0.87941,0.85704,0.87525,0.44695,1.60418,0.96878,1.28788,0.000973514,0.000973514,0.000973514
7,46.1825,1.46978,1.11846,1.33964,0.79696,0.81819,0.80649,0.41168,1.57858,1.03597,1.28356,0.000946016,0.000946016,0.000946016
8,52.3392,1.43925,1.08888,1.31682,0.84014,0.88912,0.85693,0.44951,1.5229,0.98847,1.24204,0.000918519,0.000918519,0.000918519
9,58.4753,1.45778,1.09936,1.34662,0.81253,0.84578,0.86883,0.45881,1.54643,0.96705,1.24812,0.000891022,0.000891022,0.000891022
10,64.6131,1.42957,1.05843,1.31295,0.79155,0.78746,0.78818,0.40274,1.64012,1.04268,1.31678,0.000863525,0.000863525,0.000863525
11,70.714,1.40439,1.05133,1.32557,0.88855,0.85428,0.88398,0.48127,1.5547,0.9142,1.25763,0.000836027,0.000836027,0.000836027
12,76.8154,1.3937,1.01645,1.3122,0.82049,0.83085,0.85246,0.44415,1.57493,0.96901,1.27269,0.00080853,0.00080853,0.00080853
13,82.9896,1.3938,1.01591,1.29765,0.8671,0.83524,0.85427,0.4588,1.5895,0.9146,1.26881,0.000781033,0.000781033,0.000781033
14,89.0479,1.40439,0.98461,1.3077,0.88791,0.88531,0.88639,0.47931,1.51471,0.92952,1.24168,0.000753536,0.000753536,0.000753536
